Item URL,Image URL,Clothing Item Name,Price,,,,,,,,,,,,,,,,,,,LABEL-12,HREF-12,LABEL-13,HREF-13,LABEL-14,HREF-14,LABEL-15,HREF-15,LABEL-16,HREF-16,LABEL-17,HREF-17,LABEL-18,HREF-18,LABEL-19,HREF-19
https://www.c-and-a.com/eu/en/shop/cropped-long-sleeve-top-2230231/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1729675039/productimages/2230231-1-01.jpg",Cropped long sleeve top,"2,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-t-shirt-2245840/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1750158526/productimages/2245840-1-01.jpg",Cropped T-shirt,"5,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/blouse-2244082/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1751458679/productimages/2244082-1-01.jpg",Blouse,"15,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/top-2245838/3,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1752766933/productimages/2245838-3-01.jpg",Top,"3,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/wide-leg-jeans-low-rise-waist-2244398/3,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1756895542/productimages/2244398-3-01.jpg",Wide leg jeans - low-rise waist,"29,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/top-2245838/2,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1752248068/productimages/2245838-2-01.jpg",Top,"3,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/top-2245838/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1752248107/productimages/2245838-1-01.jpg",Top,"3,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-t-shirt-2245356/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1750159624/productimages/2245356-1-01.jpg",Cropped T-shirt,"3,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-top-2226702/2,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1720782452/productimages/2226702-2-01.jpg",Cropped top,"3,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-top-2226702/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1721294097/productimages/2226702-1-01.jpg",Cropped top,"3,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/t-shirt-2226696/2,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1721985953/productimages/2226696-2-01.jpg",T-shirt,"3,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-top-2247332/2,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1756211137/productimages/2247332-2-01.jpg",Cropped top,"4,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-top-2247332/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1755707334/productimages/2247332-1-01.jpg",Cropped top,"4,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/top-ribbed-2245360/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1750682401/productimages/2245360-1-01.jpg",Top - ribbed,"4,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-top-ribbed-shiny-2235704/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1729674625/productimages/2235704-1-01.jpg",Cropped top - ribbed - shiny,"4,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-t-shirt-2227692/3,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1724663833/productimages/2227692-3-01.jpg",Cropped T-shirt,"4,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-t-shirt-2227692/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1724663892/productimages/2227692-1-01.jpg",Cropped T-shirt,"4,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/asymmetric-satin-skirt-2226911/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1721294456/productimages/2226911-1-01.jpg",Asymmetric satin skirt,"4,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-top-textured-2247508/2,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1752247704/productimages/2247508-2-01.jpg",Cropped top - textured,"5,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/cropped-top-textured-2247508/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1752251063/productimages/2247508-1-01.jpg",Cropped top - textured,"5,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/t-shirt-oversized-2247337/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1755707293/productimages/2247337-1-01.jpg",T-shirt - oversized,"5,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/t-shirt-slim-fit-2247326/2,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1753274293/productimages/2247326-2-01.jpg",T-shirt - slim fit,"5,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.c-and-a.com/eu/en/shop/t-shirt-slim-fit-2247326/1,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1753274340/productimages/2247326-1-01.jpg",T-shirt - slim fit,"5,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
